"waktu_transaksi","route_code","route_name","gate_in_boo","jumlah_pelanggan","jumlah_amount"
"2025-07-02","1","Blok M - Kota",True,2,37000
"2025-07-02","10","Tanjung Priok - PGC",False,1,35000
"2025-07-02","10","Tanjung Priok - PGC",True,1,0
"2025-07-02","11","Pulo Gebang - Kampung Melayu",False,1,3500
"2025-07-02","11","Pulo Gebang - Kampung Melayu",True,1,20000
"2025-07-02","12","Tanjung Priok - Pluit",True,1,0
"2025-07-02","13","Puri Beta - Tegal Mampang",True,1,0
"2025-07-02","2","Pulo Gadung - Monas",False,3,58500
"2025-07-02","2","Pulo Gadung - Monas",True,2,2000
"2025-07-02","4","Pulo Gadung - Galunggung",False,2,37000
"2025-07-02","4","Pulo Gadung - Galunggung",True,3,55000
"2025-07-02","5","Kampung Melayu - Ancol",False,1,35000
"2025-07-02","5","Kampung Melayu - Ancol",True,2,3500
"2025-07-02","6","Ragunan - Galunggung",False,1,35000
"2025-07-02","7","Kampung Rambutan - Kampung Melayu",False,1,2000
"2025-07-02","7","Kampung Rambutan - Kampung Melayu",True,1,0
"2025-07-02","8","Lebak Bulus - Pasar Baru",False,2,38500
"2025-07-02","8","Lebak Bulus - Pasar Baru",True,2,55000
"2025-07-02","9","Pinang Ranti - Pluit",False,1,2000
"2025-07-02","B21","Blok M - Bundaran Senayan",False,2,5500
"2025-07-02","B21","Blok M - Bundaran Senayan",True,1,20000
"2025-07-02","C12","Cawang - Harmoni",False,1,2000
"2025-07-02","D11","Depok - Dukuh Atas",False,2,23500
"2025-07-02","F11","Fatmawati - GBK",False,1,20000
"2025-07-02","K22","Kampung Melayu - Senen",True,1,2000
"2025-07-02","L13","Lebak Bulus - Monas",False,1,20000
"2025-07-02","L13","Lebak Bulus - Monas",True,1,35000
"2025-07-02","M14","Manggarai - Blok M",False,3,90000
"2025-07-02","M14","Manggarai - Blok M",True,1,35000
